PERSON_ID,PLAYER_NAME,SEASON,OVERALL_PICK
78331,Mychal Thompson,1978,1
76736,Phil Ford,1978,2
77984,Rick Robey,1978,3
77952,Micheal Ray Richardson,1978,4
78139,Purvis Short,1978,5
1449,Larry Bird,1978,6
76249,Ron Brewer,1978,7
78548,Freeman Williams,1978,8
78310,Reggie Theus,1978,9
77356,Butch Lee,1978,10
77142,Magic Johnson,1979,1
76881,David Greenwood,1979,2
76362,Bill Cartwright,1979,3
77239,Greg Kelser,1979,4
77626,Sidney Moncrief,1979,5
76085,James Bailey,1979,6
77167,Vinnie Johnson,1979,7
77691,Calvin Natt,1979,8
76553,Larry Demic,1979,9
76928,Roylee Hamilton,1979,10
76353,Joe Barry Carroll,1980,1
76890,Darrell Griffith,1980,2
1450,Kevin McHale,1980,3
77911,Kelvin Ransey,1980,4
77920,Jamesearl Ray,1980,5
77754,Mike O'Koren,1980,6
76826,Mike Gminski,1980,7
78351,Andrew Toney,1980,8
76266,Michael Brooks,1980,9
77373,Ronnie Lester,1980,10
76016,Mark Aguirre,1981,1
78318,Isiah Thomas,1981,2
433,Buck Williams,1981,3
78610,Al Wood,1981,4
78423,Danny Vranes,1981,5
78615,Orlando Woolridge,1981,6
77134,Steve Johnson,1981,7
1472,Tom Chambers,1981,8
76176,Rolando Blackman,1981,9
77263,Albert King,1981,10
1460,James Worthy,1982,1
187,Terry Cummings,1982,2
1122,Dominique Wilkins,1982,3
76785,Bill Garnett,1982,4
78,LaSalle Thompson,1982,5
78375,Trent Tucker,1982,6
76497,Quintin Dailey,1982,7
77236,Clark Kellogg,1982,8
77377,Cliff Levingston,1982,9
76638,Keith Edmonson,1982,10
78055,Ralph Sampson,1983,1
78257,Steve Stipanovich,1983,2
1622,Rodney McCray,1983,3
2,Byron Scott,1983,4
76876,Sidney Green,1983,5
76478,Russell Cross,1983,6
1847,Thurl Bailey,1983,7
156,Antoine Carr,1983,8
107,Dale Ellis,1983,9
117,Jeff Malone,1983,10
165,Hakeem Olajuwon,1984,1
76217,Sam Bowie,1984,2
893,Michael Jordan,1984,3
64,Sam Perkins,1984,4
