PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
78331,Mychal,Thompson,Mychal Thompson,"Thompson, Mychal",M. Thompson,mychal-thompson,1955-01-30T00:00:00,Minnesota,USA,Minnesota/USA,6-10,226.0,12,43.0,Center,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_mychal_thompson,1978.0,1990.0,N,Y,Y,1978,1,1,N
76736,Phil,Ford,Phil Ford,"Ford, Phil",P. Ford,phil-ford,1956-02-09T00:00:00,North Carolina,USA,North Carolina/USA,6-2,175.0,7,1.0,Guard,Inactive,N,1610612758,Kings,KCK,kings,Kansas City,HISTADD_phil_ford,1978.0,1984.0,N,Y,Y,1978,1,2,N
77984,Rick,Robey,Rick Robey,"Robey, Rick",R. Robey,rick-robey,1956-01-30T00:00:00,Kentucky,USA,Kentucky/USA,6-11,230.0,8,8.0,Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_rick_robey,1978.0,1985.0,N,Y,Y,1978,1,3,N
77952,Micheal Ray,Richardson,Micheal Ray Richardson,"Richardson, Micheal Ray",M. Richardson,micheal-ray-richardson,1955-04-11T00:00:00,Montana,USA,Montana/USA,6-5,189.0,8,20.0,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_micheal_ray_richardson,1978.0,1985.0,N,Y,Y,1978,1,4,N
78139,Purvis,Short,Purvis Short,"Short, Purvis",P. Short,purvis-short,1957-07-02T00:00:00,Jackson State,USA,Jackson State/USA,6-7,210.0,12,45.0,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_purvis_short,1978.0,1989.0,N,Y,Y,1978,1,5,N
1449,Larry,Bird,Larry Bird,"Bird, Larry",L. Bird,larry-bird,1956-12-07T00:00:00,Indiana State,USA,Indiana State/USA,6-9,220.0,13,33.0,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,larry_bird,1979.0,1991.0,N,Y,Y,1978,1,6,Y
76249,Ron,Brewer,Ron Brewer,"Brewer, Ron",R. Brewer,ron-brewer,1955-09-16T00:00:00,Arkansas,USA,Arkansas/USA,6-4,180.0,8,10.0,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_ron_brewer,1978.0,1985.0,N,Y,Y,1978,1,7,N
78548,Freeman,Williams,Freeman Williams,"Williams, Freeman",F. Williams,freeman-williams,1956-05-15T00:00:00,Portland State,USA,Portland State/USA,6-4,190.0,6,20.0,Guard,Inactive,N,1610612746,Clippers,SDC,clippers,San Diego,HISTADD_freeman_williams,1978.0,1985.0,N,Y,Y,1978,1,8,N
78310,Reggie,Theus,Reggie Theus,"Theus, Reggie",R. Theus,reggie-theus,1957-10-13T00:00:00,UNLV,USA,UNLV/USA,6-6,190.0,13,24.0,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_reggie_theus,1978.0,1990.0,N,Y,Y,1978,1,9,N
77356,Butch,Lee,Butch Lee,"Lee, Butch",B. Lee,butch-lee,1956-12-05T00:00:00,Marquette,USA,Marquette/USA,6-0,185.0,2,15.0,Guard,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,HISTADD_butch_lee,1978.0,1979.0,N,Y,Y,1978,1,10,N
