PERSON_ID,PLAYER_NAME,SEASON,OVERALL_PICK
78331,Mychal Thompson,1978,1
76736,Phil Ford,1978,2
77984,Rick Robey,1978,3
77952,Micheal Ray Richardson,1978,4
78139,Purvis Short,1978,5
1449,Larry Bird,1978,6
76249,Ron Brewer,1978,7
78548,Freeman Williams,1978,8
78310,Reggie Theus,1978,9
77356,Butch Lee,1978,10
77142,Magic Johnson,1979,1
76881,David Greenwood,1979,2
76362,Bill Cartwright,1979,3
77239,Greg Kelser,1979,4
77626,Sidney Moncrief,1979,5
76085,James Bailey,1979,6
77167,Vinnie Johnson,1979,7
77691,Calvin Natt,1979,8
76553,Larry Demic,1979,9
76928,Roylee Hamilton,1979,10
